date,heating_demand,windpower,rain,solar_power
2021-01-31,19.49156902328175,26.198648634175417,0.3435183939197057,0.10903720151264164
2021-02-28,14.409055879494655,24.371401012429974,0.1008891520894072,0.24731872016162595
2021-03-31,14.344940894502962,26.734664111361738,0.16318619705946893,0.349424830640446
2021-04-30,12.145399620937557,20.619741464993375,0.15197930042631086,0.4163380333078074
2021-05-31,8.57379595126624,25.17225167793545,0.404129974387473,0.36917995835391043
2021-06-30,2.0252754281537175,8.231296285959317,0.2859885825675299,0.5562735488992803
2021-07-31,1.8414249960801317,10.50479960909467,0.3629084803327618,0.496488683064708
2021-08-31,2.6506841930706533,9.582492703808448,0.1739628993671863,0.51111841350593
2021-09-30,3.5867662709488366,7.1438445857796005,0.03598479706209969,0.44415357122389937
2021-10-31,8.412189885026425,18.711455401094685,0.021810607982524145,0.31537362965561283
2021-11-30,13.31000368049963,12.872185640624036,0.05499478653667119,0.15220790653098382
2021-12-31,16.850643805383637,21.726043880421333,0.06090232731703398,0.1251172139930404
2022-01-31,17.325576100551913,22.91285744018483,0.024415481255361592,0.19323801953502373
2022-02-28,16.03273224443467,36.92130300188986,0.049428760501521694,0.23676775160262778
2022-03-31,12.918194119392114,14.587934532881642,0.0076881044578727895,0.4381815695671055
2022-04-30,10.042612560485288,28.46288082150489,0.054105245792694746,0.4365286994710394
2022-05-31,4.0830801322840635,8.789298607805497,0.048818812206686796,0.5304248593811991
2022-06-30,1.9293655874457696,10.490141147910764,0.07276204124910494,0.6795557619839795
2022-07-31,1.4175582350617262,12.450543482401182,0.03755022057225422,0.7879318822190279
2022-08-31,1.4607290529958104,9.756174843247784,0.054293745116023244,0.6397974842051753
2022-09-30,4.825858368934399,11.941897172193707,0.07585479826162163,0.38247831517601755
2022-10-31,4.504679520326654,9.453958392982756,0.038510724407244436,0.3192796483234118
2022-11-30,11.297824714511098,12.59818918398249,0.04214810210081208,0.14836583311503876
2022-12-31,15.507536617312478,15.965240983282762,0.04104398323712641,0.11260330171479722
2023-01-31,17.12500853374808,22.63851999829324,0.030154263307179966,0.128059075759695
2023-02-28,14.409678690933903,23.39446549249249,0.022160938190862567,0.269355355473898
2023-03-31,11.846727606374898,35.074100676860795,0.3883647426674744,0.2881990925171091
2023-04-30,11.142791939996142,22.71668303562979,0.408753107256553,0.3237958604307128
2023-05-31,6.000418767144996,13.226954603240847,0.3233346180293521,0.3634035186476073
